content,rating
"sumpah bagus bgt dari packaging nya aja udh kek premium gitu, aman bgt, wanginya enak agak manis gitu tapi suka sih,dpt bonusnya juga. makasih sellernya",5
"Recomended banget pokoknya,ramah, fast respon, pengirimannya juga cepet banget. Selalu puas pake parfum ini. Thanks juga buat hadiah buku catatan sama voucer 25k nya, selebihnya biar bintang yang berbicara 👍👍👍",5
"wanginya enak, suka banget, manis2 gitu.. awet juga parfumnya, packaging mantab, parfum aman gada bocor..",5
"Ini kali pertama sy beli parfum via online. krn buat sy parfum mesti dicoba, dirasa dan dinikmati langsung aromanya Tapi begitu sy buka langsung jatuh cinta sama desain packingnya yg sangat mewah...begitu sy coba aromahnya luar biasa harum... melebihi ekspektasi sy hehehehe ibarat HP ini satu kelas dengan iPhone selamat tinggal parfum impor",5
"sumpah agak takut pas liat dusnya kena cakaran benda gitu. Tapi ternyata aman, suka top notes apelnya enak.",5
"mantap sih pengiriman nya sesuai harapan banget jadi bisa dipakek pas saat acara, wanginya sih manis dan g nyegrak di hidung sopan lah bahasanya, wanginya manis kek permen sih tapi g oversweet gitu terus vanila nya juga g terlalu dominan sih, sayangnya g tahan lama sih so-so banget padahal wanginya udah cocok bgt, mungkin sekitar 6 jam kalo dipakek outdoor itupun bisa lebih bisa kurang, gua yakin kalo misal dipakek pas malem"" sejuk terus dingin ini bakal tahan lama sih yaa minimal 7 jam up lah..",5
"First buy Orgasm. Penasaran sih sebenarnya, kok banyak yang bilang oke. 😄 Dan pernah kayak Sold Out lama ga nyetok2. akhirnya available dan langsung beli (pas ada duit 😄). Nggak kecewa sama sekali sih. Packingnya rapih, Box-nya aduh, suka. Terus parfumnya juga. Aromanya soft, fruity, manis, menenangkan sekaligus menyenangkan. Im falling in love with perfume.",5
Aroma fruity dan menyegarkan. Cukup tahan lama sekitar 4-6 jam untuk indoor. Kemasan aman karena masuk kardus dengan bubblewraped. Thank you!,5
"packing aman, pengiriman cepat. baunya enak banget ngga terlalu strong. dapet free gift juga.",5
"Pengiriman sangat cepat, botol aman dan rapi.. dapat trial size juga 😍😍 baunya suka sih ga terlalu manis, cocok buat akuu yg gasuka manis.. ini botol pertamaku, will definitely buy this parfum again❤️❤️❤️",5
"Baru kali ini beli parfume mahal, biasanya yang dibawah 50 ribu 😆 Suka banget sama harumnya btw aku cowo tapi enak aja, packaging kotaknya premium, dapat bonus parfume yang lain sama voucher. Ekspedisi cepet banget pake sicepat, estimasi tgl 18 tapi tgl 17 udah sampe, tapi sayang dusnya penyok, mungkin next bisa lebih hati hati",5
"Dari semua varian HMNS, ini sih yg paling cocok, udh 3x beli dg aroma ini. cuman saran aja utk perusahaan sebesar HMNS, tolong packingannya diberi extra bubblewarp lagi biar kejadian seperti saya pada paket ini (rembes oleh air dan merusak packingan bahkan sampai kotaknya).. bahkan penutup botolnya sampai penyok. Saya juga gak bisa nyalahin pihak HMNS ataupun Jasa kirimnya, kalau diberi extra packingan seperti bubblewarp lebihkan dapat meminimalisir kejadian seperti ini",5
Packaging OK Wanginya Enak PLUS dpt Bonus Glass TUMBLR Sering-Sering yaa Min ngasih BONUS Thanku HMNS 👍,5
"juice lebih pekat ya atau memang produksinya skala besar kena proses maserasi, overall wangi ttp oke, btw thanks bonusnya 👍",5
"A well organized perfume with impressive scent, having a premium packaging, a good service and fast delivery makes this brand so worth to have. Thank you!",5
"sudah repurchase ke sekian kalinyaa, kualitas produknya memang baguss, wanginya enak dan tahan lamaa, mantap bangettt, pas beli juga dibonusin tumblr kacaa, tambah mantapp, thankyouu ya seller, hmns sukses teruss dengan produknyaa 👍👍",5
"nice packing aman, btw aku pke parfum ini dua thn lalu co di toko oyenn, di pke buat slama kuliah ketahanannya sekitar 6 jam. skrng dh abis jdi co lgi, dan karna skrng aku dh ngajar disekolah, pas aku pke entah kenapa kek ada yg kurang, gk setahan wangi pas dlu2 gtu, pdhal aku ngajar 7 jam di kls ber ac, tpi pas jam istirahat sekitar jam 10 pas aku sniff kek gk senempel dlu, jdi harus reapply, agak bingung sih, apa salah moment, jdi klo ngajar gk cocok kah pke orgsm?? haruskah EOS?? atau unrosed?",5
"sumpah keren banget packagingnya asli deh premium banget, udah gtu safety parah asli. Wanginya jangan ditanya enak bangettt kaya woody tapi soft gtu tapi sexy dan mahal gtu lah wkwkw suka bangettt dan jadi pengen nyoba yg varian EOS juga nih",5
"Sebenernya suka bgt sama packaging dan servis nya bener"" debest. Pertama kali nemu seller begini jempol banget. Tapi gatau kurang suka sm wanginya. Mirip"" scarlett gitu. Atau rasanya kaya kurang manly. Keep it up HMNS",5
"Barang sesuai deskripsi, wanginya enak dan pengirimannya jg cepat",5
"sweet scent, reminds me about her lol. paket sampai dengan selamat, meskipun ga dapet promo x baseusnya gapapa dah, yg penting parfumenya tiba dengan selamat. admin responsif, bakal order lagi besok 👍",5
"Packing bagus, barangnya masih utuh bersegel, wanginya enak",5
"Setelah maju mundur, akhirnya kebeli juga parfum pertama aku dari HMNS pas ada rejekinya. Wanginya enak banget. Packagingnya juga baguss. Adminnya jg baik, fast respon.",5
"Untuk yg ini aromanya menurut saya terlalu manis untuk cowok, tp aromanya memang enak sih. Untuk ketahanannya menurut saya standar aja gak terlalu lama.",5
pengiriman sangat cepat seller fast respon puas banget pokoknya dikirim ke jkt aman juga mantab,5
"Memutuskan beli orgsm karena langsung jatuh cinta pas coba di versi discovery set. Pas full bottle dateng udh antusias, tp jd aneh kok warnanya beda.. kayak lebih bening. Terus kecewa bgt aromanya juha jauh beda, ga seenak yg di discovery set. Aroma di discovery set lebih kenceng tapi smooth, spl'nya jg juara. Yang full bottle aromanya kayak lebih watery dan spl'nya super weak. Apakah ini reformula? Kalau iya, sayang bgt karena ga seenak yg sebelumnya. So sad :( Anyway ini masalah selera pribadi sih. kalau aku pribadi lebih suka versi yg lama, yg kayak di discovery set.",4
"Cepet bgt sampainya. Pesan senin siang selasa sore udh sampe. Packagingnya nuat bgt, kotak putihnya udh berasa wangi haha. Ternyata wanginya enak soft ga nyegrek sesuai dengan ekspektasi pokoknya",5
"Agak kecewa si sama packaging nya si... label nya kotor dan jiplak kaya bekas jari / ada sidik jarinya... tutupnya juga banyak baret2 halusnya... kesannya jadi kaya ga higienis... pengirimannya hanya pakai kardus yg mepet banget sama box nya dan ga ada bubblewarpnya... ya untung ga pecah atau bocor si... apa karena diskon? gth juga ya, tapi biarpun diskon harusnya kualitas n detail2 begitu tetep harus diperhatikan, bukan dikurangi... semoga next lebih baik...",4
"Respon penjual baik, Packing mantab, Isi aman No complain",5
Respon terbaik langsung prosess barang mah ga usah di tanya,5
"wanginya menurut aku enak. fruity manis dan segar. cocok dikombinasikan dengan wangi lain juga kalau masih belum ""diri kamu banget"" wanginya. wanginya bisa dibuild up dan masih enak serta masih kecium top note wangi parfumnya ini. Cukup longlasting di semprot ke baju untuk seharian ngantor tapi ga selonglasting itu sampe sore untuk wanginya bisa kecium sampe org noleh pas kita jalan. Tapi kalau dari deket masih bisa kecium kalau kita wangi 😂👍🏼 ohiya ini juga warnanya kaya orange bgt gitu kan awalnya agak takut nyemprot ke baju apa lagi kalo lagi pake baju putih tapi ternyata aman aja kok gengs 👍🏼 tida menimbulkan bekas noda gitu yg aku notice sih Untuk kemasannya juga bagus sekali di box warna putih dan ada busanya di sekeliling jadi anti pecah. di packing dengan bubble wrap juga jadi aman 👍🏼",5
"packing bagus banget, kokoh dan dijamin kirim ke luar pulau pasti aman. aroma tahan lumayan lama. gak nyobain langsung karena dijadiin kado.",5
barang sesuai deskripsi... mari support brand lokal.. recommended seller,5
"Pertama kali beli parfum disini, secara keseluruhan sangat puas dengan pelayanannya. Barang pertama kali dateng pecah, Alhamdulillah seller mengirimkan kembali parfumnya. Terimakasi Humins 🙏😁",5
"fast delivery, communicative and responsive seller, and got a sample that smells good. Defenitely gonna repurchase again. Thank you seller!",5
"Copywriting cakep, packaging feel-nya premium, ada bonus buat mandi di bathup. Cakep. Thanks HMNS.",5
"Barang sudah sampai dengan selamat ditempat saya. Wah semakin keren saja, sedikit begitu ramping botolnya. Wanginya tetap sama saat pertama kali pakai. Pokoknya rekomendasi buat kalian yang sedang mencari parfum yang manis dan tahan lama. Terima Kasih juga bonusnya, dan Sakses selalu buat HMNS. Terima Kasih..:",5
"top notesnya agak nyegrak, tapi pas middle notesnya wow",5
"Brand paling worth it menurut saya, langganan dr dulu alhamdulillah ga pernah masalah dengan produk dan pemesanannya",5
"mantap sesuai pesanan, pengemasan rapih dan aman, proses kirimnya cepat",5
"packing selalu double. Wangi kalem cenderung segar karna ada rasa Fruity Orange . Alpha done ,Forhamton done,orgasm done,next coba varian lain",5
"kirain bakal lama pengirimannya ternyata cepet. alhamdulillah brg tidak ada kerusakan. dikasih bonus tester parfum, dan wanginya enak.. soft2 miengingatkan seperti wangi sampo anak2😆",5
"pengiriman cepat, packing rapi, wanginya juga enak",5
"pengiriman cepat, packing rapi kek anak SD masuk sekolah, wanginya juga lembut kek pantat bayi.",5
"Wangi nya enak , packaging aman , Top banget",5
"dpt rekomendasi dr temen yg kebetulan cukup ngerti soal perawatan diri utk cowo. dan sangat2 TIDAK MENYESAL beli ini!! kita ulas satu2 (gw jarang2 ulas lengkap begini, saking gw suka dg semuanya). pertama, packaging paketnya. dipackage dg rapi, ada bubble wrapnya, dan sampai kurang dr 24 jam setelah pemesanan. kedua, packaging product. udh bisa diliat dr foto gw, ini bukan kaleng2 packagingnya, pdhl harganya masih termasuk murah utk EdP, bagus banget!! ketiga, bonus. ga nyangka dpt bonus sample parfum varian utk outdoor. kebetulan kmaren galau mau beli yg mana, akhirnya beli yg ini. eh tyt malah dpt sample produk yg laen. dpt juga voucher diskon dg jangka waktu 5 bulan dr tgl pembelian, dan ada garansi utk produk yg kita beli, dg range waktu 7-30 hari (ini parfum sekelas barang elektronik). keempat, wangi. GILA ENAK BANGET WANGINYA, TINGKAT PEDE GW NAEK 3X LIPAT!!! ga eneg, long lasting, dan yg pasti, bikin pede 😎 RECOMMENDED BANGET!!!! ⭐⭐⭐⭐⭐",5
"disaranin untuk beli ini. wanginya manis dan semerbaj walau cuma dispray3x. wanginya juga sopann. belum tau ketahanannya berapa lama. iseng beli pas 6.6 cuma 260an dan dapet freepouch. adminnya fastresp, baik&sopan. thank youu",5
Pertama kalinya beli parfume ini dan suka dg baunya. Istri jg suka. Overall cukup puas ya sm productnya. Packaging jg lumayan mewah. Thanks gan,5
"produk okee... pengiriman cepat... packing dan kemasan aman banget... wanginya enak, kalem dan seger... mantabb.. terima kasih",5
"produk sesuai dengan deskripsi penjual, dapet voucher juga dong guys, mantapp 👍🏽 recommended seller",5
"Gilasihh build botol yg sekarang jauh lebih bagusss, cek di foto sebelum sesudah",5
"barangnya oke banget... packingnya rapih dan aman, gak ada yang tumpah sama sekali. wanginya suka banget dan tahan lama.. best pokoknya",5
harum dan lembut wanginya bertahan seharian,5
"enak baunya, harga lumayan ramah di kantong, untuk durability blum terlalu kliatan karna saya ke kantor pke motor, mungkin dah kena terpa angin 😂 tapi good lah, sukses terus buat produk lokal 👍🏻",5
"Packaging nya rapi, Produknya sesuai dengan deskripsi..mantab👍🏻",5
Respon penjual baik sekali...barang bagus dan dikasi bonus tester dan voucher...very recommended seller...,5
"respon cepat. packing oke banget, aman. aromanya bisa diterima sama cowo tapi lebih dominan ke cewe",5
Pengiriman cepat. Wangi enak banget dan awet seharian. Dapet bonus juga.,5
parfum varian Orgasm menurut sy ttp enak. cocok buat yg suka manis. kl sy lbh suka EOS wanginnya lbh ke vanilla soft 🙏🙏😍🤩,5
"packing cepat dan aman, wangi dan looknya kaya parfum mewah beuuhh suka banget🥰🥰",5
"kirain bakal datang setelah lebaran (karena order tanggal 29 April), ternyata sampai hari ini! keren banget bisa dipakai pas lebaran! sudah beli yang kedua kalinya dan memang cocok dengan wanginya. love!",5
Botolnya bocor pas sampai alamat tujuan:(,4
yang paling di tunggu2 banget dan ternyata lebih dari ekspektasi. wanginya sweet dan lembut banget. packagingnya mewah dengan hardboxnya jadi udah lumayan safety,5
"wanginyaa masih terus enakk dan bertahan lama, ngga bosen2, tiap beli dibonusin/diracunin parfume trial yg wanginya juga enak2, thankyouu seller, sekali2 kasih gratis ongkir dongggg",5
"High quality, terbaiklah pokoknya.. semoga cocok sm wanginya",5
aromanya enak. dpt 2 vial juga yg aromanya enak juga.. kemasan aman. pengiriman cepat. makasih,5
"Entah Botol kotak keberapa untuk Orgasm ini, Wanginya begitu Melekat dan Deep. Mewah, Orgasm adalah Parfum pertama yang membuat indra penciumanku kembali perlahan2 normal kembali setelah suspect Anosmia... Jadi aku akan selalu ingat dengan Memory yang ada di orgasm 💕💕",5
"original Orgsm is more light and the Darker Shade of O is just.. like the name, darker",5
"Wanginyaaa enakkk bangett!!!! Aku coba sekali semprot doang di pergelangan tangan tapi kecium banget🥹Pertama kalo disemprot wangi Fresh Apple gitu,galama kemudian nyampur sama flowery scent menurutku jadi maniiss,nah dry downnya Vanillanya keluarr beuhh enak bgt,Nggak oversweet nggak enek,Kayaaa…Perfect aja gituu😭,Plus..DAPET BONUS BATH BOMB DONGG😭😭🥹🥹🥹,Definitely bakal repurchase ini dan coba varian lain!!!Such a good work HMNS team!",5
"wanginya enak pol!!! bener2 wangi maniss yg cewe manis tapi manisnya enak seger aduh ga ngerti jelasinnya gimanaaa. Whistlist dri tahun 2020 mau beli ini baru kesampean 2022 akhir. Berkat orgasm, setiap pagi aku selalu semangat menjalani hari!! Oiya, dapet trial parfume EOS yg ternyata super refreshing banget. ga sabar bisa kebeli EOS! Soon beli EOS sik harus!",5
suka pake banget wanginya cocok x ma keinginan aku semoga awet ya,5
"Parfum terbaik yang pernah saya beli, seller the best 1. Eu de parfum 2. Buatan lokal 3. Campuran pake minyak nilam 4. Baunya enak banget",5
"Beli orgasm, niatnya buat hadiah ke istri, eh pas dapat bonus alpha yg memang cocok buat saya. Terimakasih ya, seller-nya baik banget. Overall suka dengan aroma racikan HMNS, kemasan juga berkesan premium. Mantap.",5
"Diterima dalam keadaan baik, dan sudah di coba selama 3 jam sih wangi nya masih stay kurang tau kalo lamaan lagi namun wangi nya overall ok kok 👍🏻❤️",5
"wanginyaa enak bangeeettt !!! ahhhh sukaaaa , packagingnya bagus mewah , sellernya fast respon , pengirimannya cepet , pas sampe ga ada cacat sedikitpun ,thank you seller sukses selalu untuk HMNS yaaaa",5
"order kedua setelah alpha nya kena rampok, ahirnya nyobain orgasm, untuk wanginya cemderung lebih kenceng kalo di banding alpha yg manis tp kalem. sama ada sedikit kendala di pump tp setelah chat mimin dan di kasih info ternyata pump hole nya kebalik. overall puas sih ada bonusan nya juga. next time kayanya bakal coba ambar jamma kalo udah ada stock. thanks hnms gw puas",5
"mantap banget, packingannya aman banget, dapet bonus lagi, padahal mesen di tanggal 2 , eh ternyata dapet free vial 5ml. wanginya lumayan sih, blm dicoba tapi enak lumayan",5
"Udah lama masuk wishlist dan akhirnya check out juga. Suka banget sama wanginya, lembut dan tahan lama 😍 Packingnya keren banget, aman sentosa sampai di NTB, dapat voucher juga. Terimakasih ya barang sudah diterima dengan baik 👍",5
Packing dari HMNS selalu eksklusif dan mewah. Aroma Dari parfume ini bikin ngangenin Dan akhirnya repurchase. Terus pertahankan kualitas produk.,5
"Asli enak banget wanginya, pertama kali beli langsung pas aja",5
"Wanginya fenomenal ini jadi happy bisa dapat parfumnya. Lalu dapat hadiah voucher, sample parfume juga dan ada warranty card wah kereen HNMS pasti bikin kita jadi langganan terus.",5
nice... tapi sedih boxnya agak penyok dan dalam boxnya sobek darisananya😭. dapet bonus parfum juga tapi wangi bapack bapack😭🤣,5
"suka banget sm baunya, packaging oke bgt 👍🏼",5
"Produk sesuai pesanan, kemasan esklusif sekali pokonya bagus deh makasi",5
"Barang datang sesuai pesanan, pengiriman cepat, barang sesuai deskripsi, untuk orgsm SPL moderate 7/10. Feminism scent wangi oke untuk gen XX",5
wanginya dominan sweet tapi ada segernya. wanginya tahan lama kalau di dalam ruangan,5
"Gass, baru pertama kali coba order farian ini dan alhamdulillah cocok sama aromanya, ini unisex kalau menurut saya sih. Tapi tetep ada wibawanya. Thanks yaa.",5
"Pengiriman cepat, wanginya harum banget dan awet juga. Cocok banget buat kondangan ini",5
"wanginya lumayan, tahan di kulit, dan kemasannya bagus.",5
"Parfum kedua yg aku cobain setelah Eos. Yg ini ga kalah wangi.. wanginya fresh and sweet, bner2 pas/cocok buat gen XX.. awet juga wanginya dan sukaa👍🏻",5
"Packing rapih dan bagus, parfume nya wangit banget soft",4
"gitu deh cocok buat nembak wkwk, sayang gadapet bonus test",5
"Wanginya lembut, barang sesuai dengan pesanan, packing rapih dan pengiriman sesuai estimasi",5
"packaging nya oke bgt, mewaaah dan elegan. plus wangi parfumnya enak bgt.. istriku suka. sukses ya seller..",5
Tidak diragukan lagi yaa kualitas dari produk HMNS yaaaaaaaa ... mantul pokoknya pengirimannya cepet banget kemarin pesen hari ini sampe loh packagingnya juga rapih dan aman banget jadi ga ada yang pecah .. thnk you HMNS sukses terus yaa,5
"beli buat kado teman. Katanya dia suka cocok sama baunya. Senang krn temen suka produknya:') next pgn beli untuk diri sendiri, moga kesampean hehe. Terima kasih hmns!",5
"pertama x beli HMNS, sangat terkesan dg packing nya, gak kalah dg parfum import. wanginya vibrant dan berani. termasuk voucher 25rb utk pembelian berikutnya. sicepat halu bener"" halu cpt nya, estimasi 4 hr malah nyampe next day.",5
"Nice fragrance 👍🏻 Love the proper packaging, definitely worth the price 😉😉",5
"repeat order lagi nyoba varian yang orgasm mantul lah tp lbh suka yg eos kmrin lbh kalem dikit but gpp lah ok, barang sampe cepet dan aman 😉",5
"barang berkualitas, mantap. dpt bonusan scent of woman. makasih HMNS.",5
"Coba beli setelah tahu parfum ini lagi viral dan memang betul wangi nya enak banget.. Beli untuk istri dan sangat suka sekali dia. Dapat bonus yg 5ml, wangi nya juga enak yg bonus.. Bakalan beli lagi pakai voucher 25rb.. Trims HMNS",5
Wanginya awet bgt buat kelas lokal tapi untuk packaging jelek ah masa tutupnya ngelotok,3
"harumnya nagih dan tahan lama. rekomendasi sih kalo untuk cewek mau beli, ini bisa jd salahsatu pilihan.",4
Wangi mengingatkan aroma apa gitu. Sangat suka aromanya. Pengiriman cepat. Sesuai ekspektasi,5
mau nyari parfum lokal yg wanginya enggk lebay bau awalnya manis sih tpi di akhiran g terlalu strong,5
