content,rating
"Saff oke bgt aromanya, thanks seller. Kapok ke pengiriman aja sih, mending pilih kurir yg lain dr pada antraj*. Untung box parfumny bagus ada lapisan dll, kalo box produk ringkih mah bisa berantakan isinya.",5
"Barang bagus wangi sesuai harapan dan bonusnya lebih wangi, tokonya ramah packaging top dan kurir rekomended aktual pengiriman cepat👍👍",5
"Allhamdulilah terimakasih🙏🙏🙏 produk sdh sampai dgn keadaan kemasan seperti melalui perjalanan lintas galaxy, dan kurir melempar paket didalam garasi untung botol tidak pecah untuk produk Baik dan belum di uji ketahanannya dan basenote nya. nb.mohon utk jasa kurirnya di tinjau kembalj sdh lama ceroboh pula",5
"gw ga ngerti bau parfum yang enak gimana wkwk. baunya enak² aja sih, tester coco juga enak² aja, cuman ga tau beda baunya apa. saran aja, kalau bisa tutupnya kek dikasih kuncian pas ga dipake biar ga gerak² tutupnya (ada contoh nya di video). dan keliatannya ini 3dprinting, jadi bisa diedit pas perencanaan",5
packingnya oke. kalo kualitas mah gak perlu ditanya lagi~,5
"coba beli yang mini perfumenya yang varian saff, langsung sukaaa sekali dengan komposisi scentnyaa. wangi nya sangat amat sesuai dengan cover perfumenya. dann box berikut bagian dalamnya amat sangat misterius tapi berkesan kuat 🤩🤩🤩 hampir lupa, ternyata ada bonus random mini perfume nya 👍👍👍",5
wanginya sih laki banget.. bagi pria ini parfum yang paling cocok menurut gw selain Coco 😁✌,5
"packaging & kemasan barang bagus aman, wangi jugaa",5
"coming back to saff, i like the scent. i got maleali as a bonus, thank you so much, i'll try it soon!",5
"keren nih, bukan pake Buble wrap plastik, tapi pakai kertas. barang aman sampe. klo utk aroma, selera sih ya.. tapi saya beli ke-2, Dan aromanya konsisten dengan yg terdahulu. Good job SAFF",5
"sesuka ini sama produk nya saff, paling suka sama varian Saff & Solaris wanginya enak banget dan pas banget buat gw",5
"Packing luar biasa safe, pake kardus besar. Parfum selamat dan aman smpe tujuan, Wanginya pun enak banget plus dikasi bonus lagi, recommend buat yg lain 👍👍👍",5
"wanginya gentle banget sesuai dengan tema Saff aromanya ada kesan mysterius cocok untuk yg beraktifitas di dalam ruangan, kalau di luar kayaknya kurang cocok tapi kebetulan dikasih sample varian IRAI LEIMA aromanya seger seperti ada kesan cold dan mentolnya cocok untuk aktifitas diluar ruangan karena aromanya yg segar, kuat dan tahan lama",5
ini brand lokal parfum yg paling niat sih.. wangi tahan lama karena dia extrait.. setelah mandipun msh ada wanginya..,5
- Barang sampai dengan packaging sangat aman - Dapat sample parfum wangi yg lain - Wanginya cocok dan tahan lama seharian - Packagingnya mewah dan elegan,5
"Sesuka ituu sama saff n co, wanginya tahan lama, dan seller fast respon..",5
"barang sesuai pesanan packing rapih Dan wangi enak semoga cocok, terima kasih",5
"First time cobain produk dari Saff, sempet cemas waktu varian yang ini sold out, ga lama pre-order dan goks cepet banget PO-nya! semoga ga bosen sama wanginya haha",5
"varian parfum ini ketahanannya bagus, saya pakai pagi jam 8, pulang kerja jam 6 aromanya masih ada. untuk karakter aromanya juga nyaman di hidung. gak terlalu menyengat, kalem dan cukup manly",5
